ID_CURSO,ID_SEXO,ID_RACA,ID_TURNO,IN_ACAO_AFIRMATIVA,IN_APOIO_SOCIAL,IN_APOIO_ALIMENTACAO,IN_APOIO_MORADIA,IN_APOIO_TRANSPORTE,IN_APOIO_MATERIAL_DIDATICO,IN_APOIO_BOLSA_PERMANENCIA,IN_APOIO_BOLSA_TRABALHO,TOTAL_ALUNOS,RECEBE_AUXILIO,IDPNA,TOTAL_IDPNA
13397,2,1,3,0,1,0,0,0,0,0,1,2,1,0,0
13397,1,1,3,0,1,1,0,0,0,0,0,3,1,0,0
13397,1,3,3,0,0,0,0,0,0,0,0,45,0,0,0
13397,2,2,3,0,0,0,0,0,0,0,0,18,0,0,0
13397,1,3,3,1,1,0,0,0,0,1,0,2,1,0,0
13397,2,2,1,0,0,0,0,0,0,0,0,6,0,0,0
13397,2,0,1,0,0,0,0,0,0,0,0,22,0,0,0
13397,2,4,3,1,0,0,0,0,0,0,0,2,0,1,2
13397,2,1,3,1,1,1,1,0,0,0,0,3,1,0,0
13397,1,2,1,0,0,0,0,0,0,0,0,5,0,0,0
13397,1,3,1,0,1,1,1,0,0,0,0,2,1,0,0
13397,2,3,3,0,0,0,0,0,0,0,0,87,0,0,0
13397,1,3,1,0,0,0,0,0,0,0,0,31,0,0,0
13397,2,2,1,1,0,0,0,0,0,0,0,11,0,1,11
13397,1,3,1,1,1,1,0,0,0,0,0,4,1,0,0
13397,2,0,3,1,0,0,0,0,0,0,0,15,0,1,15
13397,1,2,1,1,0,0,0,0,0,0,0,11,0,1,11
13397,2,4,1,0,0,0,0,0,0,0,0,2,0,0,0
13397,2,3,3,1,0,0,0,0,0,0,0,158,0,1,158
13397,2,3,3,0,1,1,0,0,0,0,0,2,1,0,0
13397,2,3,1,0,0,0,0,0,0,0,0,47,0,0,0
13397,1,1,1,0,0,0,0,0,0,0,0,44,0,0,0
13397,1,0,1,1,0,0,0,0,0,0,0,21,0,1,21
13397,1,0,3,1,0,0,0,0,0,0,0,16,0,1,16
13397,2,3,3,1,1,1,0,0,0,0,0,4,1,0,0
13397,2,1,3,1,1,1,0,0,0,0,0,3,1,0,0
13397,1,0,1,0,0,0,0,0,0,0,0,18,0,0,0
13397,1,3,3,1,0,0,0,0,0,0,0,118,0,1,118
13397,2,1,1,0,0,0,0,0,0,0,0,48,0,0,0
13397,1,1,1,1,0,0,0,0,0,0,0,52,0,1,52
13397,1,3,3,1,1,1,0,0,0,0,0,2,1,0,0
13397,2,1,1,1,0,0,0,0,0,0,0,39,0,1,39
13397,2,0,3,0,0,0,0,0,0,0,0,17,0,0,0
13397,1,2,3,1,0,0,0,0,0,0,0,4,0,1,4
13397,1,2,3,0,0,0,0,0,0,0,0,6,0,0,0
13397,1,3,1,1,1,0,0,0,0,1,0,2,1,0,0
13397,2,1,3,0,0,0,0,0,0,0,0,88,0,0,0
13397,2,2,3,1,0,0,0,0,0,0,0,23,0,1,23
13397,2,4,3,0,0,0,0,0,0,0,0,2,0,0,0
13397,1,1,3,1,0,0,0,0,0,0,0,44,0,1,44
13397,1,1,1,1,1,0,0,0,0,1,0,4,1,0,0
13397,2,0,1,1,0,0,0,0,0,0,0,23,0,1,23
13397,1,1,3,1,1,1,0,0,0,0,0,3,1,0,0
13397,1,4,1,1,0,0,0,0,0,0,0,3,0,1,3
13397,1,3,3,0,1,0,0,0,0,1,0,2,1,0,0
13397,2,3,1,1,1,0,0,0,0,1,0,2,1,0,0
13397,1,3,1,1,0,0,0,0,0,0,0,113,0,1,113
13397,2,3,1,1,0,0,0,0,0,0,0,115,0,1,115
13397,1,0,3,0,0,0,0,0,0,0,0,5,0,0,0
13397,2,3,1,1,1,1,0,0,0,0,0,2,1,0,0
13398,2,3,3,1,0,0,0,0,0,0,0,118,0,1,118
13398,1,0,3,1,0,0,0,0,0,0,0,8,0,1,8
13398,1,0,3,0,0,0,0,0,0,0,0,12,0,0,0
13398,2,1,1,0,1,0,0,0,0,1,0,4,1,0,0
13398,2,3,1,1,1,1,0,0,0,0,0,2,1,0,0
13398,2,2,1,0,0,0,0,0,0,0,0,6,0,0,0
13398,2,3,1,1,0,0,0,0,0,0,0,71,0,1,71
13398,1,2,1,1,0,0,0,0,0,0,0,12,0,1,12
13398,2,1,3,0,0,0,0,0,0,0,0,43,0,0,0
13398,2,0,1,1,0,0,0,0,0,0,0,8,0,1,8
13398,1,0,1,1,0,0,0,0,0,0,0,17,0,1,17
13398,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0
13398,1,3,3,1,1,1,0,0,0,0,0,2,1,0,0
13398,1,1,3,0,1,0,0,0,0,0,1,2,1,0,0
13398,2,3,1,0,1,0,0,0,0,1,0,2,1,0,0
13398,2,1,3,1,0,0,0,0,0,0,0,59,0,1,59
13398,1,1,3,0,0,0,0,0,0,0,0,48,0,0,0
13398,2,0,3,1,0,0,0,0,0,0,0,14,0,1,14
13398,2,3,3,1,1,1,0,0,0,0,0,6,1,0,0
13398,1,3,1,0,1,0,0,0,0,1,0,5,1,0,0
13398,1,3,1,0,1,1,0,0,0,0,0,3,1,0,0
13398,2,1,1,1,1,1,0,0,0,0,0,2,1,0,0
13398,2,3,1,0,0,0,0,0,0,0,0,20,0,0,0
13398,1,3,1,1,1,0,0,0,0,0,1,5,1,0,0
13398,1,3,1,0,0,0,0,0,0,0,0,24,0,0,0
13398,1,2,3,0,0,0,0,0,0,0,0,2,0,0,0
13398,1,3,3,0,1,0,0,0,0,1,0,3,1,0,0
13398,1,1,3,1,0,0,0,0,0,0,0,67,0,1,67
13398,1,3,1,1,0,0,0,0,0,0,0,70,0,1,70
13398,1,1,1,0,0,0,0,0,0,0,0,54,0,0,0
13398,2,2,3,1,1,1,0,0,0,0,0,2,1,0,0
13398,1,3,3,1,0,0,0,0,0,0,0,60,0,1,60
13398,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0
13398,2,0,3,0,0,0,0,0,0,0,0,9,0,0,0
13398,2,5,3,1,0,0,0,0,0,0,0,2,0,1,2
13398,2,1,1,1,0,0,0,0,0,0,0,52,0,1,52
13398,2,2,3,0,0,0,0,0,0,0,0,6,0,0,0
13398,2,1,1,1,1,0,0,0,0,1,0,3,1,0,0
13398,1,3,3,1,1,0,0,0,0,1,1,2,1,0,0
13398,2,1,3,0,1,0,0,0,0,1,0,4,1,0,0
13398,1,3,3,1,1,0,0,0,0,1,0,2,1,0,0
13398,2,1,1,0,0,0,0,0,0,0,0,31,0,0,0
13398,2,3,3,0,0,0,0,0,0,0,0,32,0,0,0
13398,1,1,1,1,1,0,0,0,0,1,0,4,1,0,0
13398,2,2,3,1,0,0,0,0,0,0,0,9,0,1,9
13398,2,2,1,1,0,0,0,0,0,0,0,6,0,1,6
13398,2,3,3,1,1,0,0,0,0,1,0,5,1,0,0
