CO_CURSO;TP_SEXO;TP_COR_RACA;TP_TURNO;IN_ACAO_AFIRMATIVA;ID_AUXILIO;QT_BENEFICIARIOS
1315863;1;3;4.0;1;5;4
1315863;1;1;4.0;1;5;3
1495673;1;3;4.0;1;5;2
1594433;2;2;4.0;1;5;2
1595472;1;3;4.0;1;5;2
1595472;1;5;4.0;1;5;2
1595700;1;2;3.0;1;5;2
1595700;1;3;3.0;0;5;2
1595700;1;1;3.0;1;5;2
1595700;1;3;3.0;0;5;2
1595700;1;3;3.0;1;5;3
5000922;1;3;1.0;1;5;3
5001241;1;3;3.0;1;5;3
5001241;1;1;3.0;1;5;4
5001637;2;5;4.0;1;5;2
5001637;1;2;4.0;1;5;2
27673;2;3;3.0;1;1;2
27673;1;3;3.0;1;1;2
27673;2;3;3.0;0;1;2
27673;2;1;3.0;1;1;2
27673;1;2;3.0;1;1;2
27673;1;1;3.0;1;1;2
27673;2;2;3.0;1;1;2
27673;2;3;3.0;1;1;2
27673;1;1;3.0;1;1;3
27673;1;1;3.0;1;1;2
27673;1;3;3.0;1;1;5
27673;2;1;3.0;1;1;2
27673;2;3;3.0;1;1;2
27673;1;1;3.0;1;1;2
27673;1;3;3.0;1;1;4
121932;2;3;3.0;1;1;2
121932;1;2;3.0;1;1;2
121932;1;2;3.0;1;1;2
121932;1;1;3.0;1;1;2
121932;1;3;3.0;0;1;2
121932;1;1;3.0;0;1;2
121932;1;1;3.0;1;1;3
121932;1;2;3.0;0;1;2
121932;1;3;3.0;1;1;2
121932;1;3;3.0;1;1;4
121932;1;3;3.0;1;1;3
121934;2;3;3.0;1;1;2
1293028;2;5;4.0;0;1;2
1293028;2;2;4.0;0;1;2
1293028;2;5;4.0;0;1;4
1293028;2;5;4.0;1;1;11
1293028;2;5;4.0;0;1;6
1293028;1;3;4.0;0;1;5
1293028;1;3;4.0;0;1;2
1293028;1;2;4.0;0;1;2
1293028;1;1;4.0;0;1;2
1300254;1;3;4.0;1;1;2
1300254;2;3;4.0;1;1;3
1300254;2;3;4.0;0;1;2
1300254;1;3;4.0;1;1;5
1313290;1;1;4.0;1;1;2
1313290;1;3;4.0;0;1;2
